Reference	Average.coverage
_DM176_I_LTR_Gypsy	4.713239875
_DM176_I_LTR_Gypsy	5.309501558
_DM176_I_LTR_Gypsy	4.078193146
_DM176_I_LTR_Gypsy	5.857009346
_DM176_I_LTR_Gypsy	3.40482866
_DM176_I_LTR_Gypsy	4.668535826
_DM297_I_LTR_Gypsy	24.30874007
_DM297_I_LTR_Gypsy	38.81709097
_DM297_I_LTR_Gypsy	404.4924599
_DM297_I_LTR_Gypsy	452.303389
_DM297_I_LTR_Gypsy	462.9315713
_DM297_I_LTR_Gypsy	173.0199449
_DM297_I_LTR_Gypsy	266.9466515
_DM297_I_LTR_Gypsy	196.3364683
_DM297_I_LTR_Gypsy	283.6478028
_DM297_I_LTR_Gypsy	89.96481271
_DM297_I_LTR_Gypsy	263.1248581
_DM297_I_LTR_Gypsy	88.16669369
_DM297_I_LTR_Gypsy	245.6291552
_DM412_LTR_Gypsy	40.36313108
_DM412_LTR_Gypsy	54.06283773
_DM412_LTR_Gypsy	222.9042767
_DM412_LTR_Gypsy	269.3865987
_DM412_LTR_Gypsy	291.4886522
_DM412_LTR_Gypsy	156.6725336
_DM412_LTR_Gypsy	329.2948896
_DM412_LTR_Gypsy	180.4676548
_DM412_LTR_Gypsy	356.3345685
_DM412_LTR_Gypsy	183.8909989
_DM412_LTR_Gypsy	285.282847
_DM412_LTR_Gypsy	222.0142041
_DM412_LTR_Gypsy	280.2311255
_DOC_Non-LTR_retrotransposon_Jockey	0.642116402
_DOC_Non-LTR_retrotransposon_Jockey	0.745396825
_DOC_Non-LTR_retrotransposon_Jockey	648.3674074
_DOC_Non-LTR_retrotransposon_Jockey	984.0281481
_DOC_Non-LTR_retrotransposon_Jockey	1094.012063
_DOC_Non-LTR_retrotransposon_Jockey	125.621164
_DOC_Non-LTR_retrotransposon_Jockey	162.6182011
_DOC_Non-LTR_retrotransposon_Jockey	156.9128042
_DOC_Non-LTR_retrotransposon_Jockey	170.2903704
_DOC_Non-LTR_retrotransposon_Jockey	102.5511111
_DOC_Non-LTR_retrotransposon_Jockey	97.70920635
_DOC_Non-LTR_retrotransposon_Jockey	182.5771429
_DOC_Non-LTR_retrotransposon_Jockey	209.5936508
_FROGGER_I_LTR_Copia	0
_FROGGER_I_LTR_Copia	0.118921521
_FROGGER_I_LTR_Copia	17.85459798
_FROGGER_I_LTR_Copia	21.74626866
_FROGGER_I_LTR_Copia	23.36061627
_FROGGER_I_LTR_Copia	6.453538758
_FROGGER_I_LTR_Copia	8.924410207
_FROGGER_I_LTR_Copia	7.774675012
_FROGGER_I_LTR_Copia	8.727491574
_FROGGER_I_LTR_Copia	4.70582571
_FROGGER_I_LTR_Copia	6.013962446
_FROGGER_I_LTR_Copia	4.582571016
_FROGGER_I_LTR_Copia	4.820895522
_FW_DM_Non-LTR_retrotransposon_Jockey	3.491048593
_FW_DM_Non-LTR_retrotransposon_Jockey	4.39599318
_FW_DM_Non-LTR_retrotransposon_Jockey	725.4409633
_FW_DM_Non-LTR_retrotransposon_Jockey	1344.872336
_FW_DM_Non-LTR_retrotransposon_Jockey	1529.586317
_FW_DM_Non-LTR_retrotransposon_Jockey	381.2779199
_FW_DM_Non-LTR_retrotransposon_Jockey	540.0306905
_FW_DM_Non-LTR_retrotransposon_Jockey	488.3563512
_FW_DM_Non-LTR_retrotransposon_Jockey	629.7001279
_FW_DM_Non-LTR_retrotransposon_Jockey	140.1649616
_FW_DM_Non-LTR_retrotransposon_Jockey	232.6496164
_FW_DM_Non-LTR_retrotransposon_Jockey	160.2877238
_FW_DM_Non-LTR_retrotransposon_Jockey	258.2184569
_G7_DM_Non-LTR_retrotransposon_Jockey	0.130872483
_G7_DM_Non-LTR_retrotransposon_Jockey	0.688758389
_G7_DM_Non-LTR_retrotransposon_Jockey	9.681208054
_G7_DM_Non-LTR_retrotransposon_Jockey	14.22063758
_G7_DM_Non-LTR_retrotransposon_Jockey	16.23825503
_G7_DM_Non-LTR_retrotransposon_Jockey	33.73825503
_G7_DM_Non-LTR_retrotransposon_Jockey	33.79697987
_G7_DM_Non-LTR_retrotransposon_Jockey	35.91694631
_G7_DM_Non-LTR_retrotransposon_Jockey	24.34731544
_G7_DM_Non-LTR_retrotransposon_Jockey	31.35318792
_G7_DM_Non-LTR_retrotransposon_Jockey	14.54949664
_G7_DM_Non-LTR_retrotransposon_Jockey	10.5159396
_G7_DM_Non-LTR_retrotransposon_Jockey	7.215604027
_GTWIN_I_LTR_Gypsy	109.9442454
_GTWIN_I_LTR_Gypsy	204.9305404
_GTWIN_I_LTR_Gypsy	33.71920262
_GTWIN_I_LTR_Gypsy	41.69973524
_GTWIN_I_LTR_Gypsy	53.14950942
_GTWIN_I_LTR_Gypsy	108.5715621
_GTWIN_I_LTR_Gypsy	162.2532316
_GTWIN_I_LTR_Gypsy	123.2932565
_GTWIN_I_LTR_Gypsy	175.4485283
_GTWIN_I_LTR_Gypsy	34.0855007
_GTWIN_I_LTR_Gypsy	56.48107771
_GTWIN_I_LTR_Gypsy	30.30306806
_GTWIN_I_LTR_Gypsy	50.66983336
_Gypsy-11_DSim-I_LTR_Gypsy	27.91690851
_Gypsy-11_DSim-I_LTR_Gypsy	34.22376661
_Gypsy-11_DSim-I_LTR_Gypsy	20.77577516
_Gypsy-11_DSim-I_LTR_Gypsy	27.69375286
_Gypsy-11_DSim-I_LTR_Gypsy	31.71070719
_Gypsy-11_DSim-I_LTR_Gypsy	104.1938292
_Gypsy-11_DSim-I_LTR_Gypsy	159.765236
_Gypsy-11_DSim-I_LTR_Gypsy	124.3668856
_Gypsy-11_DSim-I_LTR_Gypsy	160.797159
_Gypsy-11_DSim-I_LTR_Gypsy	99.92882236
_Gypsy-11_DSim-I_LTR_Gypsy	148.9541775
_Gypsy-11_DSim-I_LTR_Gypsy	86.0673591
_Gypsy-11_DSim-I_LTR_Gypsy	128.6137162
_Gypsy-20_DEl-I_LTR_Gypsy	2.967120853
_Gypsy-20_DEl-I_LTR_Gypsy	4.117446682
_Gypsy-20_DEl-I_LTR_Gypsy	1.105154028
_Gypsy-20_DEl-I_LTR_Gypsy	2.224526066
_Gypsy-20_DEl-I_LTR_Gypsy	1.785396919
_Gypsy-20_DEl-I_LTR_Gypsy	0.161729858
_Gypsy-20_DEl-I_LTR_Gypsy	0.477636256
_Gypsy-20_DEl-I_LTR_Gypsy	0.258441943
_Gypsy-20_DEl-I_LTR_Gypsy	0.275622038
_Gypsy-20_DEl-I_LTR_Gypsy	0.15728673
_Gypsy-20_DEl-I_LTR_Gypsy	0.463862559
_Gypsy-20_DEl-I_LTR_Gypsy	0.224081754
_Gypsy-20_DEl-I_LTR_Gypsy	0.26007109
_Gypsy-37_DEl-I_LTR_Gypsy	3.235556156
_Gypsy-37_DEl-I_LTR_Gypsy	6.167116631
_Gypsy-37_DEl-I_LTR_Gypsy	4.500809935
_Gypsy-37_DEl-I_LTR_Gypsy	5.100026998
_Gypsy-37_DEl-I_LTR_Gypsy	4.451673866
_Gypsy-37_DEl-I_LTR_Gypsy	0.249595032
_Gypsy-37_DEl-I_LTR_Gypsy	0.843007559
_Gypsy-37_DEl-I_LTR_Gypsy	0.338957883
_Gypsy-37_DEl-I_LTR_Gypsy	0.363660907
_Gypsy-37_DEl-I_LTR_Gypsy	0.327888769
_Gypsy-37_DEl-I_LTR_Gypsy	0.984341253
_Gypsy-37_DEl-I_LTR_Gypsy	0.384719222
_Gypsy-37_DEl-I_LTR_Gypsy	0.378509719
_Gypsy-47_DEl-I_LTR_Gypsy	6.613398735
_Gypsy-47_DEl-I_LTR_Gypsy	13.78920873
_Gypsy-47_DEl-I_LTR_Gypsy	11.57260875
_Gypsy-47_DEl-I_LTR_Gypsy	18.20265909
_Gypsy-47_DEl-I_LTR_Gypsy	16.20291726
_Gypsy-47_DEl-I_LTR_Gypsy	1.226926552
_Gypsy-47_DEl-I_LTR_Gypsy	1.692655221
_Gypsy-47_DEl-I_LTR_Gypsy	1.092551956
_Gypsy-47_DEl-I_LTR_Gypsy	1.174648251
_Gypsy-47_DEl-I_LTR_Gypsy	1.011230154
_Gypsy-47_DEl-I_LTR_Gypsy	1.334193882
_Gypsy-47_DEl-I_LTR_Gypsy	1.001290822
_Gypsy-47_DEl-I_LTR_Gypsy	1.019362334
_Gypsy-8_DSim-I_LTR_Gypsy	10.94752402
_Gypsy-8_DSim-I_LTR_Gypsy	19.75443459
_Gypsy-8_DSim-I_LTR_Gypsy	32.63858093
_Gypsy-8_DSim-I_LTR_Gypsy	38.92793792
_Gypsy-8_DSim-I_LTR_Gypsy	51.86677753
_Gypsy-8_DSim-I_LTR_Gypsy	163.1744272
_Gypsy-8_DSim-I_LTR_Gypsy	266.0404656
_Gypsy-8_DSim-I_LTR_Gypsy	178.7014043
_Gypsy-8_DSim-I_LTR_Gypsy	280.7642276
_Gypsy-8_DSim-I_LTR_Gypsy	56.3030303
_Gypsy-8_DSim-I_LTR_Gypsy	147.5419438
_Gypsy-8_DSim-I_LTR_Gypsy	58.38636364
_Gypsy-8_DSim-I_LTR_Gypsy	140.8542129
_Gypsy-9_DBp-I_LTR_Gypsy	1.344678732
_Gypsy-9_DBp-I_LTR_Gypsy	4.42719575
_Gypsy-9_DBp-I_LTR_Gypsy	0.298854391
_Gypsy-9_DBp-I_LTR_Gypsy	0.508218496
_Gypsy-9_DBp-I_LTR_Gypsy	0.696828823
_Gypsy-9_DBp-I_LTR_Gypsy	0.029885439
_Gypsy-9_DBp-I_LTR_Gypsy	0.250705628
_Gypsy-9_DBp-I_LTR_Gypsy	0.089490287
_Gypsy-9_DBp-I_LTR_Gypsy	0.149925286
_Gypsy-9_DBp-I_LTR_Gypsy	0.398638552
_Gypsy-9_DBp-I_LTR_Gypsy	0.945043998
_Gypsy-9_DBp-I_LTR_Gypsy	0.197409929
_Gypsy-9_DBp-I_LTR_Gypsy	0.537273784
_Gypsy1-I_DM_LTR_Gypsy	125.3826371
_Gypsy1-I_DM_LTR_Gypsy	135.8932659
_Gypsy1-I_DM_LTR_Gypsy	98.84079084
_Gypsy1-I_DM_LTR_Gypsy	123.6311878
_Gypsy1-I_DM_LTR_Gypsy	113.4056786
_Gypsy1-I_DM_LTR_Gypsy	19.09900401
_Gypsy1-I_DM_LTR_Gypsy	25.58391556
_Gypsy1-I_DM_LTR_Gypsy	20.85937268
_Gypsy1-I_DM_LTR_Gypsy	21.55879292
_Gypsy1-I_DM_LTR_Gypsy	18.97220158
_Gypsy1-I_DM_LTR_Gypsy	39.33016203
_Gypsy1-I_DM_LTR_Gypsy	22.74208414
_Gypsy1-I_DM_LTR_Gypsy	22.46826223
_Gypsy12_I_LTR_Gypsy	0.037504508
_Gypsy12_I_LTR_Gypsy	0.169130905
_Gypsy12_I_LTR_Gypsy	39.92102416
_Gypsy12_I_LTR_Gypsy	49.80995312
_Gypsy12_I_LTR_Gypsy	227.0018031
_Gypsy12_I_LTR_Gypsy	84.67562207
_Gypsy12_I_LTR_Gypsy	125.9329246
_Gypsy12_I_LTR_Gypsy	101.4495132
_Gypsy12_I_LTR_Gypsy	129.7271908
_Gypsy12_I_LTR_Gypsy	64.1352326
_Gypsy12_I_LTR_Gypsy	40.61756221
_Gypsy12_I_LTR_Gypsy	48.64190408
_Gypsy12_I_LTR_Gypsy	41.91525424
_Gypsy2-I_DM_LTR_Gypsy	54.9144385
_Gypsy2-I_DM_LTR_Gypsy	93.59297173
_Gypsy2-I_DM_LTR_Gypsy	66.46906035
_Gypsy2-I_DM_LTR_Gypsy	93.41543163
_Gypsy2-I_DM_LTR_Gypsy	122.0082506
_Gypsy2-I_DM_LTR_Gypsy	5.401375095
_Gypsy2-I_DM_LTR_Gypsy	7.487853323
_Gypsy2-I_DM_LTR_Gypsy	5.995721925
_Gypsy2-I_DM_LTR_Gypsy	6.203514133
_Gypsy2-I_DM_LTR_Gypsy	3.703590527
_Gypsy2-I_DM_LTR_Gypsy	6.901909855
_Gypsy2-I_DM_LTR_Gypsy	4.290756303
_Gypsy2-I_DM_LTR_Gypsy	5.002291826
_Gypsy4_I_LTR_Gypsy	0.556933842
_Gypsy4_I_LTR_Gypsy	0.79802799
_Gypsy4_I_LTR_Gypsy	135.0799936
_Gypsy4_I_LTR_Gypsy	205.0618639
_Gypsy4_I_LTR_Gypsy	204.2768766
_Gypsy4_I_LTR_Gypsy	40.58937659
_Gypsy4_I_LTR_Gypsy	50.55709288
_Gypsy4_I_LTR_Gypsy	47.14551527
_Gypsy4_I_LTR_Gypsy	46.57617684
_Gypsy4_I_LTR_Gypsy	12.59033079
_Gypsy4_I_LTR_Gypsy	13.05152672
_Gypsy4_I_LTR_Gypsy	13.2283715
_Gypsy4_I_LTR_Gypsy	10.91237277
_Gypsy5_I_LTR_Gypsy	1.279766477
_Gypsy5_I_LTR_Gypsy	9.586265171
_Gypsy5_I_LTR_Gypsy	20.38024274
_Gypsy5_I_LTR_Gypsy	24.28929175
_Gypsy5_I_LTR_Gypsy	28.82439699
_Gypsy5_I_LTR_Gypsy	7.502381318
_Gypsy5_I_LTR_Gypsy	11.70702105
_Gypsy5_I_LTR_Gypsy	8.837609464
_Gypsy5_I_LTR_Gypsy	10.79566754
_Gypsy5_I_LTR_Gypsy	23.00875711
_Gypsy5_I_LTR_Gypsy	29.49976955
_Gypsy5_I_LTR_Gypsy	16.18420648
_Gypsy5_I_LTR_Gypsy	19.3750192
_Gypsy8_I_LTR_Gypsy	5.762134806
_Gypsy8_I_LTR_Gypsy	9.959282264
_Gypsy8_I_LTR_Gypsy	33.5757994
_Gypsy8_I_LTR_Gypsy	36.7057741
_Gypsy8_I_LTR_Gypsy	40.58270071
_Gypsy8_I_LTR_Gypsy	68.52334944
_Gypsy8_I_LTR_Gypsy	101.3294226
_Gypsy8_I_LTR_Gypsy	72.83482862
_Gypsy8_I_LTR_Gypsy	90.40142627
_Gypsy8_I_LTR_Gypsy	37.61352657
_Gypsy8_I_LTR_Gypsy	63.26777088
_Gypsy8_I_LTR_Gypsy	35.7878997
_Gypsy8_I_LTR_Gypsy	38.17667357
_Gypsy_6B_LTR_Gypsy	44.52806589
_Gypsy_6B_LTR_Gypsy	51.07184259
_Gypsy_6B_LTR_Gypsy	76.16717511
_Gypsy_6B_LTR_Gypsy	113.6465833
_Gypsy_6B_LTR_Gypsy	139.0930445
_Gypsy_6B_LTR_Gypsy	28.86424649
_Gypsy_6B_LTR_Gypsy	45.38682123
_Gypsy_6B_LTR_Gypsy	34.90924344
_Gypsy_6B_LTR_Gypsy	46.57626602
_Gypsy_6B_LTR_Gypsy	23.95210494
_Gypsy_6B_LTR_Gypsy	38.68364857
_Gypsy_6B_LTR_Gypsy	19.0161684
_Gypsy_6B_LTR_Gypsy	31.93456376
_Gypsy_I_LTR_Gypsy	74.5194406
_Gypsy_I_LTR_Gypsy	118.0248963
_Gypsy_I_LTR_Gypsy	52.02074689
_Gypsy_I_LTR_Gypsy	74.81927155
_Gypsy_I_LTR_Gypsy	100.5494083
_Gypsy_I_LTR_Gypsy	43.00768403
_Gypsy_I_LTR_Gypsy	57.13646842
_Gypsy_I_LTR_Gypsy	51.21392347
_Gypsy_I_LTR_Gypsy	54.07730137
_Gypsy_I_LTR_Gypsy	45.71553711
_Gypsy_I_LTR_Gypsy	40.59351468
_Gypsy_I_LTR_Gypsy	29.72798525
_Gypsy_I_LTR_Gypsy	29.44459813
_HETA_Non-LTR_retrotransposon_Jockey	0.199802664
_HETA_Non-LTR_retrotransposon_Jockey	0.327084361
_HETA_Non-LTR_retrotransposon_Jockey	71.71846736
_HETA_Non-LTR_retrotransposon_Jockey	131.7158362
_HETA_Non-LTR_retrotransposon_Jockey	195.5130735
_HETA_Non-LTR_retrotransposon_Jockey	44.90182536
_HETA_Non-LTR_retrotransposon_Jockey	70.06117415
_HETA_Non-LTR_retrotransposon_Jockey	55.94063476
_HETA_Non-LTR_retrotransposon_Jockey	66.48561092
_HETA_Non-LTR_retrotransposon_Jockey	27.03782273
_HETA_Non-LTR_retrotransposon_Jockey	24.37312942
_HETA_Non-LTR_retrotransposon_Jockey	46.14734419
_HETA_Non-LTR_retrotransposon_Jockey	67.50764677
_HMSBEAGLE_I_LTR_Gypsy	2.408944708
_HMSBEAGLE_I_LTR_Gypsy	3.427171083
_HMSBEAGLE_I_LTR_Gypsy	211.3870424
_HMSBEAGLE_I_LTR_Gypsy	315.1563792
_HMSBEAGLE_I_LTR_Gypsy	318.9240312
_HMSBEAGLE_I_LTR_Gypsy	72.28779292
_HMSBEAGLE_I_LTR_Gypsy	95.2199418
_HMSBEAGLE_I_LTR_Gypsy	88.46699341
_HMSBEAGLE_I_LTR_Gypsy	95.37540205
_HMSBEAGLE_I_LTR_Gypsy	78.47020983
_HMSBEAGLE_I_LTR_Gypsy	96.0448767
_HMSBEAGLE_I_LTR_Gypsy	80.61908409
_HMSBEAGLE_I_LTR_Gypsy	86.83014244
_HOBO_DNA_hAT-hobo	0
_HOBO_DNA_hAT-hobo	0.227122016
_HOBO_DNA_hAT-hobo	186.0789125
_HOBO_DNA_hAT-hobo	197.436008
_HOBO_DNA_hAT-hobo	171.4366711
_HOBO_DNA_hAT-hobo	57.01193634
_HOBO_DNA_hAT-hobo	56.95954907
_HOBO_DNA_hAT-hobo	58.50033156
_HOBO_DNA_hAT-hobo	48.8882626
_HOBO_DNA_hAT-hobo	139.2506631
_HOBO_DNA_hAT-hobo	182.2592838
_HOBO_DNA_hAT-hobo	158.7330902
_HOBO_DNA_hAT-hobo	136.2234748
_I-6_DY_Non-LTR_retrotransposon_I	6.492592593
_I-6_DY_Non-LTR_retrotransposon_I	7.60037037
_I-6_DY_Non-LTR_retrotransposon_I	102.1887037
_I-6_DY_Non-LTR_retrotransposon_I	147.162037
_I-6_DY_Non-LTR_retrotransposon_I	144.3785185
_I-6_DY_Non-LTR_retrotransposon_I	84.91944444
_I-6_DY_Non-LTR_retrotransposon_I	108.32
_I-6_DY_Non-LTR_retrotransposon_I	96.99925926
_I-6_DY_Non-LTR_retrotransposon_I	103.4353704
_I-6_DY_Non-LTR_retrotransposon_I	93.78944444
_I-6_DY_Non-LTR_retrotransposon_I	84.85037037
_I-6_DY_Non-LTR_retrotransposon_I	96.79148148
_I-6_DY_Non-LTR_retrotransposon_I	91.69166667
_IDEFIX_I_LTR_Gypsy	14.80685856
_IDEFIX_I_LTR_Gypsy	24.33315565
_IDEFIX_I_LTR_Gypsy	168.95629
_IDEFIX_I_LTR_Gypsy	236.6334399
_IDEFIX_I_LTR_Gypsy	404.3130775
_IDEFIX_I_LTR_Gypsy	54.69474058
_IDEFIX_I_LTR_Gypsy	130.5986141
_IDEFIX_I_LTR_Gypsy	55.02416489
_IDEFIX_I_LTR_Gypsy	128.9566453
_IDEFIX_I_LTR_Gypsy	19.93141436
_IDEFIX_I_LTR_Gypsy	92.88877043
_IDEFIX_I_LTR_Gypsy	17.62579957
_IDEFIX_I_LTR_Gypsy	74.53909026
_IVK_DM_Non-LTR_retrotransposon_I	0
_IVK_DM_Non-LTR_retrotransposon_I	0.137726768
_IVK_DM_Non-LTR_retrotransposon_I	107.0279526
_IVK_DM_Non-LTR_retrotransposon_I	171.2038134
_IVK_DM_Non-LTR_retrotransposon_I	159.3311736
_IVK_DM_Non-LTR_retrotransposon_I	55.11921511
_IVK_DM_Non-LTR_retrotransposon_I	61.71473528
_IVK_DM_Non-LTR_retrotransposon_I	61.93280267
_IVK_DM_Non-LTR_retrotransposon_I	67.97519437
_IVK_DM_Non-LTR_retrotransposon_I	68.10921881
_IVK_DM_Non-LTR_retrotransposon_I	87.97760089
