Read1	Read2	Group
ERR418085_chmielewski_val_1.fq	ERR418085_chmielewskii_val_2.fq	A
ERR418086_chmielewskii_val_1.fq	ERR418086_chmielewskii_val_2.fq	A
ERR418089_cheesmaniae_val_1.fq	ERR418089_cheesmaniae_val_2.fq	C
ERR418090_neorickii_val_1.fq	ERR418090_neorickii_val_2.fq	C
ERR418091_neorickii_val_1.fq	ERR418091_neorickii_val_2.fq	C
ERR418092_arcanum_val_1.fq	ERR418092_arcanum_val_2.fq	B
ERR418093_arcanum_val_1.fq	ERR418093_arcanum_val_2.fq	B
ERR418121_galapagense_val_1.fq	ERR418121_galapagense_val_2.fq	B
