"name_poly" "Read1" "Read2" "fraction_of_unmatched"
"CL44_TR_1_x_181_0nt.fa_001" "ERR418085_chmielewski_val_1.fq" "ERR418085_chmielewskii_val_2.fq" 0.0543573894062901
"CL44_TR_1_x_181_0nt.fa_002" "ERR418086_chmielewskii_val_1.fq" "ERR418086_chmielewskii_val_2.fq" 0.0531442477322843
"CL44_TR_1_x_181_0nt.fa_003" "ERR418089_cheesmaniae_val_1.fq" "ERR418089_cheesmaniae_val_2.fq" 0.0568885339786661
"CL44_TR_1_x_181_0nt.fa_004" "ERR418090_neorickii_val_1.fq" "ERR418090_neorickii_val_2.fq" 0.0528503283217884
"CL44_TR_1_x_181_0nt.fa_005" "ERR418091_neorickii_val_1.fq" "ERR418091_neorickii_val_2.fq" 0.0538366161751857
"CL44_TR_1_x_181_0nt.fa_006" "ERR418092_arcanum_val_1.fq" "ERR418092_arcanum_val_2.fq" 0.0550162112470808
"CL44_TR_1_x_181_0nt.fa_007" "ERR418093_arcanum_val_1.fq" "ERR418093_arcanum_val_2.fq" 0.0559773585906706
"CL44_TR_1_x_181_0nt.fa_008" "ERR418121_galapagense_val_1.fq" "ERR418121_galapagense_val_2.fq" 0.0636784843246882
