"Reference","Sample_index","Read","Total_reads","percent_mapped","Ref_Length","Average_coverage","max_coverage"
"CL44_TR_1_x_181_0nt.fa","S001","500K_mauG_R1.fastq",500000,0,183,0,0
"CL44_TR_1_x_181_0nt.fa","S002","500K_mauG_R2.fastq",500000,0,183,0,0
"CL44_TR_1_x_181_0nt.fa","S003","5M_isoG_1.gz",500000,0,183,0,0
"CL44_TR_1_x_181_0nt.fa","S004","5M_isoG_2.fq",500000,0,183,0,0
"CL44_TR_1_x_181_0nt.fa","S005","5M_mauG_R1.fq",5000000,0,183,0,0
"CL44_TR_1_x_181_0nt.fa","S006","5M_mauG_R2.fq",5000000,0,183,0,0
