"name_poly" "Read1" "Read2" "fraction_of_unmatched"
"CL169_TR_1_x_330_0nt.fa_001" "ERR418085_chmielewski_val_1.fq" "ERR418085_chmielewskii_val_2.fq" 0.0721960932404133
"CL169_TR_1_x_330_0nt.fa_002" "ERR418086_chmielewskii_val_1.fq" "ERR418086_chmielewskii_val_2.fq" 0.0733049566794278
"CL169_TR_1_x_330_0nt.fa_003" "ERR418089_cheesmaniae_val_1.fq" "ERR418089_cheesmaniae_val_2.fq" 0.0771361081697483
"CL169_TR_1_x_330_0nt.fa_004" "ERR418090_neorickii_val_1.fq" "ERR418090_neorickii_val_2.fq" 0.0771628165695962
"CL169_TR_1_x_330_0nt.fa_005" "ERR418091_neorickii_val_1.fq" "ERR418091_neorickii_val_2.fq" 0.0765359961627349
"CL169_TR_1_x_330_0nt.fa_006" "ERR418092_arcanum_val_1.fq" "ERR418092_arcanum_val_2.fq" 0.0756330769668694
"CL169_TR_1_x_330_0nt.fa_007" "ERR418093_arcanum_val_1.fq" "ERR418093_arcanum_val_2.fq" 0.0739104723214974
"CL169_TR_1_x_330_0nt.fa_008" "ERR418121_galapagense_val_1.fq" "ERR418121_galapagense_val_2.fq" 0.076646290782455
