"Reference","Sample_index","Read1","Read2","Total_reads","percent_mapped","Ref_Length","Average_coverage","max_coverage"
"CL5_TR_1_x_53_0nt.fa","S002","ERR418086_chmielewskii_val_1.fq","ERR418086_chmielewskii_val_2.fq",4997968,0.23,53,6935.77358490566,7946
"CL5_TR_1_x_53_0nt.fa","S003","ERR418089_cheesmaniae_val_1.fq","ERR418089_cheesmaniae_val_2.fq",4997982,1.77,53,12409.4528301887,14686
"CL5_TR_1_x_53_0nt.fa","S004","ERR418090_neorickii_val_1.fq","ERR418090_neorickii_val_2.fq",4997175,0.51,53,9788.28301886793,11310
"CL5_TR_1_x_53_0nt.fa","S005","ERR418091_neorickii_val_1.fq","ERR418091_neorickii_val_2.fq",4998639,0.53,53,10215.679245283,11867
"CL5_TR_1_x_53_0nt.fa","S006","ERR418092_arcanum_val_1.fq","ERR418092_arcanum_val_2.fq",4998037,0.23,53,6724.67924528302,7688
"CL5_TR_1_x_53_0nt.fa","S007","ERR418093_arcanum_val_1.fq","ERR418093_arcanum_val_2.fq",4997621,0.53,53,9627.16981132075,11129
"CL5_TR_1_x_53_0nt.fa","S008","ERR418121_galapagense_val_1.fq","ERR418121_galapagense_val_2.fq",4998374,0.77,53,10041.4339622642,11804
"CL6_TR_1_x_181_0nt.fa","S001","ERR418085_chmielewski_val_1.fq","ERR418085_chmielewskii_val_2.fq",4998538,1.46,183,13106.2896174863,15092
"CL6_TR_1_x_181_0nt.fa","S002","ERR418086_chmielewskii_val_1.fq","ERR418086_chmielewskii_val_2.fq",4997968,1.22,183,11882.4590163934,13650
"CL6_TR_1_x_181_0nt.fa","S003","ERR418089_cheesmaniae_val_1.fq","ERR418089_cheesmaniae_val_2.fq",4997982,0.44,183,8664.70491803279,10978
"CL6_TR_1_x_181_0nt.fa","S004","ERR418090_neorickii_val_1.fq","ERR418090_neorickii_val_2.fq",4997175,1.81,183,14403.5027322404,16355
"CL6_TR_1_x_181_0nt.fa","S005","ERR418091_neorickii_val_1.fq","ERR418091_neorickii_val_2.fq",4998639,2.22,183,13873.3989071038,15786
"CL6_TR_1_x_181_0nt.fa","S006","ERR418092_arcanum_val_1.fq","ERR418092_arcanum_val_2.fq",4998037,0.93,183,10780.3879781421,12756
"CL6_TR_1_x_181_0nt.fa","S007","ERR418093_arcanum_val_1.fq","ERR418093_arcanum_val_2.fq",4997621,0.89,183,9964.35519125683,11884
"CL6_TR_1_x_181_0nt.fa","S008","ERR418121_galapagense_val_1.fq","ERR418121_galapagense_val_2.fq",4998374,0.3,183,5755.21857923497,7690
"CL98_TR_1_x_53_0nt.fa","S001","ERR418085_chmielewski_val_1.fq","ERR418085_chmielewskii_val_2.fq",4998538,0.26,53,7089.54716981132,8024
"CL98_TR_1_x_53_0nt.fa","S002","ERR418086_chmielewskii_val_1.fq","ERR418086_chmielewskii_val_2.fq",4997968,0.19,53,6236.2641509434,7038
"CL98_TR_1_x_53_0nt.fa","S003","ERR418089_cheesmaniae_val_1.fq","ERR418089_cheesmaniae_val_2.fq",4997982,1.27,53,11152.3396226415,13033
"CL98_TR_1_x_53_0nt.fa","S004","ERR418090_neorickii_val_1.fq","ERR418090_neorickii_val_2.fq",4997175,0.4,53,8903.66037735849,10075
"CL98_TR_1_x_53_0nt.fa","S005","ERR418091_neorickii_val_1.fq","ERR418091_neorickii_val_2.fq",4998639,0.42,53,9385.54716981132,10709
"CL98_TR_1_x_53_0nt.fa","S006","ERR418092_arcanum_val_1.fq","ERR418092_arcanum_val_2.fq",4998037,0.2,53,5989.94339622641,6752
"CL98_TR_1_x_53_0nt.fa","S007","ERR418093_arcanum_val_1.fq","ERR418093_arcanum_val_2.fq",4997621,0.38,53,8223.22641509434,9326
"CL98_TR_1_x_53_0nt.fa","S008","ERR418121_galapagense_val_1.fq","ERR418121_galapagense_val_2.fq",4998374,0.58,53,8499.32075471698,9840
"CL99_TR_1_x_2790_0nt.fa","S001","ERR418085_chmielewski_val_1.fq","ERR418085_chmielewskii_val_2.fq",4998538,0.04,2824,122.673158640227,264
"CL99_TR_1_x_2790_0nt.fa","S002","ERR418086_chmielewskii_val_1.fq","ERR418086_chmielewskii_val_2.fq",4997968,0.04,2824,130.845609065156,274
"CL99_TR_1_x_2790_0nt.fa","S003","ERR418089_cheesmaniae_val_1.fq","ERR418089_cheesmaniae_val_2.fq",4997982,0.28,2824,807.688031161473,1281
"CL99_TR_1_x_2790_0nt.fa","S004","ERR418090_neorickii_val_1.fq","ERR418090_neorickii_val_2.fq",4997175,0.05,2824,143.68059490085,409
"CL99_TR_1_x_2790_0nt.fa","S005","ERR418091_neorickii_val_1.fq","ERR418091_neorickii_val_2.fq",4998639,0.06,2824,172.615084985836,462
"CL99_TR_1_x_2790_0nt.fa","S006","ERR418092_arcanum_val_1.fq","ERR418092_arcanum_val_2.fq",4998037,0.06,2824,171.008144475921,354
"CL99_TR_1_x_2790_0nt.fa","S007","ERR418093_arcanum_val_1.fq","ERR418093_arcanum_val_2.fq",4997621,0.05,2824,140.086402266289,464
"CL99_TR_1_x_2790_0nt.fa","S008","ERR418121_galapagense_val_1.fq","ERR418121_galapagense_val_2.fq",4998374,0.18,2824,512.946529745043,914
